"county","year","month","All causes (total)","Alzheimer's disease","Malignant neoplasms","Chronic lower respiratory diseases","Diabetes mellitus","Assault (homicide)","Diseases of heart","Essential hypertension and hypertensive renal disease","Accidents (unintentional injuries)","Chronic liver disease and cirrhosis","Nephritis, nephrotic syndrome and nephrosis","Parkinson's disease","Influenza and pneumonia","Cerebrovascular diseases","Intentional self-harm (suicide)"
"Yolo",2013,6,75,0,19,0,0,0,18,0,0,0,0,0,0,0,0
"Yuba",2013,6,62,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"Alameda",2013,7,719,23,171,36,35,11,140,22,27,14,11,0,14,56,13
"Alpine",2013,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2013,7,34,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2013,7,172,0,46,0,0,0,46,0,0,0,0,0,0,0,0
"Calaveras",2013,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2013,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2013,7,535,24,156,38,11,0,113,0,19,0,0,0,0,24,0
"Del Norte",2013,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2013,7,90,0,20,0,0,0,27,0,0,0,0,0,0,0,0
"Fresno",2013,7,516,21,125,16,20,0,95,20,37,14,0,0,0,32,0
"Glenn",2013,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2013,7,110,0,24,0,0,0,23,0,0,0,0,0,0,0,0
"Imperial",2013,7,57,0,0,0,0,0,24,0,0,0,0,0,0,0,0
"Inyo",2013,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2013,7,457,25,89,40,13,0,108,0,30,13,0,0,0,20,0
"Kings",2013,7,48,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Lake",2013,7,67,0,17,0,0,0,15,0,12,0,0,0,0,0,0
"Lassen",2013,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2013,7,4585,176,1211,223,141,62,1162,101,191,113,74,31,136,256,76
"Madera",2013,7,60,0,14,0,0,0,21,0,0,0,0,0,0,0,0
"Marin",2013,7,138,12,31,0,0,0,26,0,0,0,0,0,0,0,0
"Mariposa",2013,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2013,7,61,0,16,0,0,0,13,0,0,0,0,0,0,0,0
"Merced",2013,7,117,0,26,0,0,0,22,0,18,0,0,0,0,0,0
"Modoc",2013,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2013,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2013,7,195,0,35,0,0,0,40,0,12,0,0,0,0,11,0
"Napa",2013,7,104,0,28,0,0,0,25,0,0,0,0,0,0,0,0
"Nevada",2013,7,79,0,23,0,0,0,19,0,0,0,0,0,0,0,0
"Orange",2013,7,1479,79,414,74,26,0,346,23,63,21,23,19,29,103,38
"Placer",2013,7,275,13,65,17,0,0,58,0,15,0,0,0,0,12,0
"Plumas",2013,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2013,7,1163,52,271,79,43,12,309,18,67,19,19,17,18,50,24
"Sacramento",2013,7,862,31,203,39,29,0,175,20,45,22,0,0,0,55,27
"San Benito",2013,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2013,7,1077,37,257,70,44,18,256,19,59,19,14,11,16,40,26
"San Diego",2013,7,1643,100,424,77,52,0,405,20,97,26,0,18,21,73,35
"San Francisco",2013,7,471,17,133,18,0,0,78,0,23,0,0,0,0,28,0
"San Joaquin",2013,7,361,25,78,14,17,0,76,0,20,12,0,0,0,23,0
"San Luis Obispo",2013,7,172,0,41,0,0,0,44,0,0,0,0,0,0,15,0
"San Mateo",2013,7,325,21,86,0,0,0,80,0,11,0,0,0,0,23,0
"Santa Barbara",2013,7,257,13,58,18,0,0,65,0,0,0,0,0,0,18,0
"Santa Clara",2013,7,830,29,236,29,28,0,170,23,46,13,0,0,11,40,0
"Santa Cruz",2013,7,150,0,32,0,0,0,28,0,13,0,0,0,0,0,0
"Shasta",2013,7,208,0,47,14,0,0,50,0,21,0,0,0,0,13,0
"Sierra",2013,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2013,7,38,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2013,7,219,15,61,0,11,0,38,0,0,0,0,0,0,0,0
"Sonoma",2013,7,331,23,79,24,0,0,70,0,12,0,0,0,0,16,0
"Stanislaus",2013,7,348,0,73,15,14,0,99,0,20,11,0,0,0,19,0
"Sutter",2013,7,32,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Tehama",2013,7,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2013,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2013,7,222,0,36,16,13,0,64,0,12,0,0,0,0,0,0
"Tuolumne",2013,7,67,0,20,0,0,0,20,0,0,0,0,0,0,0,0
"Ventura",2013,7,465,16,116,24,15,0,122,14,18,0,0,0,0,24,0
"Yolo",2013,7,75,0,18,0,0,0,21,0,0,0,0,0,0,0,0
"Yuba",2013,7,53,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Alameda",2013,8,756,41,196,36,20,20,144,14,29,14,0,0,12,41,11
"Alpine",2013,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2013,8,37,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"Butte",2013,8,180,0,38,0,0,0,40,0,18,0,0,0,0,19,0
"Calaveras",2013,8,24,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2013,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2013,8,572,32,147,21,16,0,119,14,23,14,0,0,0,51,0
"Del Norte",2013,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2013,8,85,0,21,0,0,0,23,0,0,0,0,0,0,0,0
"Fresno",2013,8,516,31,122,24,13,0,107,12,34,11,0,0,0,37,0
"Glenn",2013,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2013,8,86,0,18,0,0,0,21,0,0,0,0,0,0,0,0
"Imperial",2013,8,72,0,18,0,0,0,17,0,0,0,0,0,0,0,0
"Inyo",2013,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2013,8,455,13,92,28,25,0,108,0,41,0,0,13,0,16,0
"Kings",2013,8,51,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"Lake",2013,8,48,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"Lassen",2013,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2013,8,4826,186,1222,196,146,52,1300,109,200,115,74,47,153,294,89
"Madera",2013,8,62,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Marin",2013,8,160,13,28,0,0,0,33,0,0,0,0,0,0,0,16
"Mariposa",2013,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2013,8,65,0,13,0,0,0,17,0,0,0,0,0,0,0,0
"Merced",2013,8,121,0,32,0,0,0,20,0,0,0,0,0,0,13,0
"Modoc",2013,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2013,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2013,8,172,0,36,0,0,11,35,0,0,0,0,0,0,16,0
"Napa",2013,8,87,0,19,0,0,0,27,0,0,0,0,0,0,0,0
"Nevada",2013,8,77,0,22,0,0,0,19,0,0,0,0,0,0,0,0
"Orange",2013,8,1551,116,369,64,35,0,412,25,63,33,19,27,47,97,24
"Placer",2013,8,264,22,58,0,0,0,58,0,0,0,0,0,0,14,0
"Plumas",2013,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2013,8,1128,47,259,88,37,0,298,21,68,16,12,0,13,68,19
"Sacramento",2013,8,857,42,206,37,34,0,186,19,51,0,0,0,0,42,25
"San Benito",2013,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2013,8,1041,44,252,71,41,0,264,0,46,17,17,0,19,37,22
"San Diego",2013,8,1647,111,446,71,50,0,383,34,87,30,0,20,19,70,35
"San Francisco",2013,8,409,14,119,0,0,0,77,0,25,0,0,0,0,26,0
"San Joaquin",2013,8,401,27,105,24,13,0,62,0,32,14,0,0,0,23,0
"San Luis Obispo",2013,8,166,0,40,13,0,0,30,0,0,0,0,0,0,17,0
"San Mateo",2013,8,346,28,97,0,0,0,94,0,0,0,0,0,12,15,0
"Santa Barbara",2013,8,236,11,56,0,0,0,58,0,13,0,0,0,0,17,0
"Santa Clara",2013,8,788,0,215,32,34,0,170,22,37,14,0,0,21,40,11
"Santa Cruz",2013,8,124,0,29,0,0,0,24,0,0,0,0,0,0,0,0
"Shasta",2013,8,172,0,49,14,0,0,38,0,0,0,0,0,0,0,0
"Sierra",2013,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2013,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2013,8,220,0,75,0,0,0,44,0,13,0,0,0,0,0,0
"Sonoma",2013,8,347,25,102,16,0,0,75,0,0,0,0,0,0,22,0
"Stanislaus",2013,8,342,12,84,17,0,0,89,0,23,0,0,0,0,22,0
"Sutter",2013,8,44,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"Tehama",2013,8,46,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2013,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2013,8,222,11,35,0,0,0,60,0,0,0,0,0,0,0,0
"Tuolumne",2013,8,53,0,11,0,0,0,16,0,0,0,0,0,0,0,0
"Ventura",2013,8,394,18,98,27,0,0,82,13,18,0,0,0,0,26,0
"Yolo",2013,8,64,0,18,0,0,0,17,0,0,0,0,0,0,0,0
"Yuba",2013,8,51,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"Alameda",2013,9,705,39,173,25,29,0,135,0,35,14,0,0,12,38,17
"Alpine",2013,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2013,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2013,9,176,0,45,0,0,0,36,0,12,0,0,0,0,13,0
"Calaveras",2013,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2013,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2013,9,511,29,132,34,16,0,92,13,18,0,0,0,0,45,0
"Del Norte",2013,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2013,9,94,0,26,0,0,0,20,0,11,0,0,0,0,0,0
"Fresno",2013,9,510,24,119,19,28,0,110,19,23,0,0,0,0,27,14
"Glenn",2013,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2013,9,110,0,27,0,0,0,31,0,0,0,0,0,0,0,0
"Imperial",2013,9,50,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"Inyo",2013,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2013,9,448,25,84,26,22,12,116,0,29,0,0,0,0,21,0
"Kings",2013,9,67,0,20,0,0,0,17,0,0,0,0,0,0,0,0
"Lake",2013,9,54,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Lassen",2013,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2013,9,4494,176,1113,184,161,52,1181,85,184,114,70,54,147,224,66
"Madera",2013,9,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marin",2013,9,154,0,32,0,0,0,36,0,0,0,0,0,0,0,0
"Mariposa",2013,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2013,9,68,0,20,0,0,0,11,0,0,0,0,0,0,0,0
"Merced",2013,9,107,0,25,0,0,0,28,0,0,0,0,0,0,0,0
"Modoc",2013,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2013,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2013,9,169,0,45,0,0,0,34,0,0,0,0,0,0,0,0
"Napa",2013,9,90,0,23,0,0,0,20,0,0,0,0,0,0,0,0
"Nevada",2013,9,80,0,20,0,0,0,19,0,0,0,0,0,0,0,0
"Orange",2013,9,1497,90,380,86,39,0,367,28,63,32,18,23,29,72,29
"Placer",2013,9,257,11,59,13,0,0,58,0,0,0,0,0,0,13,0
"Plumas",2013,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2013,9,1107,56,270,70,33,0,292,13,67,21,17,15,12,52,20
"Sacramento",2013,9,843,31,198,41,22,0,197,0,47,15,0,0,17,52,17
"San Benito",2013,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2013,9,1042,39,257,68,35,0,254,0,32,26,0,15,17,37,27
"San Diego",2013,9,1601,108,408,87,39,0,348,28,98,27,0,20,18,92,31
"San Francisco",2013,9,447,21,125,0,0,0,77,0,24,0,0,0,0,18,0
"San Joaquin",2013,9,339,21,89,13,14,0,80,0,20,0,0,0,0,20,0
"San Luis Obispo",2013,9,177,0,50,0,0,0,32,0,13,0,0,0,0,24,0
"San Mateo",2013,9,350,25,102,15,0,0,86,0,0,0,0,0,0,17,0
"Santa Barbara",2013,9,217,12,66,0,0,0,50,0,0,0,0,0,0,11,0
"Santa Clara",2013,9,721,0,206,23,21,0,159,19,32,11,0,0,13,40,11
"Santa Cruz",2013,9,131,0,27,0,0,0,39,0,0,0,0,0,0,0,0
"Shasta",2013,9,156,0,37,11,0,0,35,0,0,0,0,0,0,0,0
"Sierra",2013,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2013,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2013,9,223,17,59,11,12,0,40,0,0,0,0,0,0,0,0
"Sonoma",2013,9,298,16,80,17,0,0,61,0,12,0,0,0,0,18,0
"Stanislaus",2013,9,327,12,85,15,0,0,90,0,17,0,0,0,0,15,0
"Sutter",2013,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tehama",2013,9,42,0,12,0,0,0,13,0,0,0,0,0,0,0,0
"Trinity",2013,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2013,9,200,0,39,0,14,0,52,0,12,0,0,0,0,0,0
"Tuolumne",2013,9,50,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"Ventura",2013,9,399,28,109,20,12,0,78,0,29,0,0,0,0,16,0
"Yolo",2013,9,85,0,24,0,0,0,15,0,0,0,0,0,0,0,0
"Yuba",2013,9,53,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"Alameda",2013,10,732,35,176,24,31,0,155,18,28,0,0,0,18,49,0
"Alpine",2013,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2013,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2013,10,218,23,54,14,0,0,40,0,13,0,0,0,0,17,0
"Calaveras",2013,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2013,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2013,10,555,23,142,37,15,0,117,19,25,0,0,0,0,38,0
"Del Norte",2013,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2013,10,94,0,29,0,0,0,23,0,0,0,0,0,0,0,0
"Fresno",2013,10,560,21,125,17,17,0,128,11,32,12,0,0,13,39,0
"Glenn",2013,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2013,10,101,0,14,0,0,0,28,0,0,0,0,0,0,0,0
"Imperial",2013,10,67,0,12,0,0,0,24,0,0,0,0,0,0,0,0
"Inyo",2013,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2013,10,421,19,73,28,22,0,104,0,31,12,0,0,0,23,11
"Kings",2013,10,67,0,11,0,0,0,19,0,0,0,0,0,0,0,0
"Lake",2013,10,62,0,15,0,0,0,16,0,0,0,0,0,0,0,0
"Lassen",2013,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2013,10,4889,200,1196,214,165,43,1322,102,202,120,86,54,163,263,67
"Madera",2013,10,62,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"Marin",2013,10,165,17,52,0,0,0,25,0,0,0,0,0,0,0,0
"Mariposa",2013,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2013,10,57,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"Merced",2013,10,118,0,21,11,0,0,40,0,0,0,0,0,0,0,0
"Modoc",2013,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2013,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2013,10,231,0,58,0,0,0,54,0,12,0,0,0,0,0,0
"Napa",2013,10,100,0,27,0,0,0,21,0,0,0,0,0,0,0,0
"Nevada",2013,10,90,0,15,0,0,0,22,0,0,0,0,0,0,0,0
"Orange",2013,10,1552,85,391,78,46,0,353,27,67,30,22,17,44,90,33
"Placer",2013,10,325,11,90,12,0,0,80,11,14,0,0,0,0,11,0
"Plumas",2013,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2013,10,1142,80,276,79,29,0,287,24,50,28,20,0,12,59,14
"Sacramento",2013,10,892,37,222,55,28,0,194,14,54,14,0,0,17,58,0
"San Benito",2013,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2013,10,1101,38,254,73,51,0,272,23,37,30,16,0,18,49,15
"San Diego",2013,10,1697,116,447,80,52,0,390,18,91,27,0,28,12,89,39
"San Francisco",2013,10,508,26,135,25,0,0,100,0,0,0,0,0,0,30,0
"San Joaquin",2013,10,389,38,80,18,17,0,81,0,22,12,0,0,13,18,0
"San Luis Obispo",2013,10,174,0,46,0,0,0,35,0,0,0,0,0,0,14,0
"San Mateo",2013,10,372,30,92,11,0,0,90,0,12,0,0,0,0,23,0
"Santa Barbara",2013,10,244,19,65,12,0,0,47,0,12,0,0,0,0,18,0
"Santa Clara",2013,10,819,0,228,35,29,0,161,32,36,17,0,0,15,45,17
"Santa Cruz",2013,10,125,0,32,0,0,0,33,0,0,0,0,0,0,0,0
"Shasta",2013,10,211,16,42,26,0,0,51,0,14,0,0,0,0,0,0
"Sierra",2013,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2013,10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2013,10,234,0,75,13,0,0,38,0,20,0,0,0,0,0,0
"Sonoma",2013,10,334,21,90,19,12,0,61,0,17,0,0,0,0,15,0
"Stanislaus",2013,10,351,14,81,20,15,0,87,0,18,0,0,0,0,28,0
"Sutter",2013,10,35,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Tehama",2013,10,47,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Trinity",2013,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2013,10,241,0,41,0,12,0,64,0,0,0,0,0,12,0,0
"Tuolumne",2013,10,37,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Ventura",2013,10,441,24,108,22,12,0,107,0,26,0,0,0,0,19,13
"Yolo",2013,10,91,0,24,0,0,0,23,0,0,0,0,0,0,0,0
"Yuba",2013,10,55,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"Alameda",2013,11,750,45,169,40,15,0,158,18,34,22,11,0,12,49,13
"Alpine",2013,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2013,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2013,11,222,18,43,13,0,0,58,0,14,0,0,0,0,0,0
"Calaveras",2013,11,39,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Colusa",2013,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2013,11,640,34,171,33,19,0,124,13,30,0,0,0,0,50,0
"Del Norte",2013,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2013,11,95,0,29,0,0,0,19,0,0,0,0,0,0,0,0
"Fresno",2013,11,522,23,108,27,15,0,96,0,39,14,0,0,13,35,0
"Glenn",2013,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2013,11,109,0,26,0,0,0,26,0,0,0,0,0,0,0,0
"Imperial",2013,11,53,0,11,0,0,0,13,0,0,0,0,0,0,0,0
"Inyo",2013,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2013,11,414,23,89,22,19,0,98,0,29,12,0,0,11,20,0
"Kings",2013,11,71,0,19,0,0,0,17,0,0,0,0,0,0,0,0
"Lake",2013,11,53,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"Lassen",2013,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2013,11,4803,238,1186,248,167,46,1250,105,180,118,68,33,156,269,55
"Madera",2013,11,73,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"Marin",2013,11,168,11,46,0,0,0,41,0,12,0,0,0,0,11,0
"Mariposa",2013,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2013,11,54,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"Merced",2013,11,113,0,26,12,0,0,20,0,0,0,0,0,0,0,0
"Modoc",2013,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2013,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2013,11,217,0,35,12,12,0,41,0,12,0,0,0,0,12,0
"Napa",2013,11,94,0,24,0,0,0,20,0,0,0,0,0,0,0,0
"Nevada",2013,11,74,0,22,0,0,0,16,0,0,0,0,0,0,0,0
"Orange",2013,11,1627,117,405,68,41,0,404,31,61,23,26,19,41,103,21
"Placer",2013,11,265,13,62,19,0,0,64,0,0,0,0,0,0,15,0
"Plumas",2013,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2013,11,1170,58,251,71,29,0,342,26,67,23,22,16,21,61,19
"Sacramento",2013,11,912,37,191,44,28,0,230,23,38,19,0,0,0,55,0
"San Benito",2013,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2013,11,1076,44,245,77,53,0,252,13,53,31,0,0,29,52,0
"San Diego",2013,11,1647,94,452,88,56,0,366,27,84,29,0,25,15,99,36
"San Francisco",2013,11,470,19,132,0,15,0,67,0,23,0,0,0,12,32,0
"San Joaquin",2013,11,365,25,84,14,13,0,82,0,18,0,0,0,0,23,0
"San Luis Obispo",2013,11,180,0,51,0,0,0,27,0,0,0,0,0,0,26,0
"San Mateo",2013,11,355,20,83,11,11,0,99,0,0,0,0,0,0,21,0
"Santa Barbara",2013,11,219,14,46,0,0,0,60,0,11,0,0,0,0,17,0
"Santa Clara",2013,11,839,0,212,33,39,0,186,16,33,19,0,14,12,39,15
"Santa Cruz",2013,11,144,0,36,0,0,0,25,0,0,0,0,0,0,0,0
"Shasta",2013,11,199,0,49,15,0,0,46,0,16,0,0,0,0,15,0
"Sierra",2013,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2013,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2013,11,213,11,56,15,0,0,39,0,18,0,0,0,0,13,0
"Sonoma",2013,11,320,21,78,13,15,0,68,0,0,0,0,0,0,0,0
"Stanislaus",2013,11,387,33,71,16,17,0,90,0,16,0,0,0,14,21,0
"Sutter",2013,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tehama",2013,11,44,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2013,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2013,11,200,0,52,13,0,0,42,0,0,0,0,0,0,11,0
"Tuolumne",2013,11,52,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Ventura",2013,11,446,26,114,17,14,0,109,15,22,14,0,0,0,28,0
"Yolo",2013,11,105,0,29,0,0,0,0,0,0,0,0,0,0,0,0
"Yuba",2013,11,76,0,13,0,0,0,24,0,0,0,0,0,0,0,0
"Alameda",2013,12,838,41,198,34,23,0,163,22,32,16,0,0,33,46,0
"Alpine",2013,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2013,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2013,12,190,16,33,18,0,0,45,0,0,0,0,0,0,0,0
"Calaveras",2013,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2013,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2013,12,651,48,167,27,15,0,138,17,16,0,0,0,0,46,11
"Del Norte",2013,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2013,12,104,0,17,13,0,0,27,0,0,0,0,0,0,0,0
"Fresno",2013,12,672,31,147,35,28,0,157,19,31,0,0,0,18,39,12
"Glenn",2013,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2013,12,123,0,28,0,0,0,24,0,12,0,0,0,0,0,0
"Imperial",2013,12,81,0,16,0,0,0,19,0,0,0,0,0,0,0,0
"Inyo",2013,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2013,12,467,24,88,28,21,0,125,12,24,0,0,0,0,16,11
"Kings",2013,12,91,0,21,0,0,0,19,0,0,0,0,0,0,0,0
"Lake",2013,12,57,0,13,0,0,0,14,0,0,0,0,0,0,0,0
"Lassen",2013,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2013,12,5218,229,1204,256,208,38,1467,102,179,108,74,51,218,263,54
"Madera",2013,12,75,0,13,0,0,0,16,0,0,0,0,0,0,0,0
"Marin",2013,12,163,12,39,0,0,0,34,0,0,0,0,0,0,0,0
"Mariposa",2013,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2013,12,75,0,15,0,0,0,12,0,0,0,0,0,0,0,0
"Merced",2013,12,114,0,21,0,0,0,21,0,11,0,0,0,0,0,0
"Modoc",2013,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2013,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2013,12,211,12,44,0,0,0,39,0,13,0,0,0,0,16,0
"Napa",2013,12,115,0,30,0,0,0,24,0,0,0,0,0,0,13,0
"Nevada",2013,12,77,0,22,0,0,0,17,0,0,0,0,0,0,0,0
"Orange",2013,12,1695,94,404,88,48,0,401,37,73,25,24,28,54,116,27
"Placer",2013,12,288,19,68,14,0,0,60,0,13,0,0,0,0,17,0
"Plumas",2013,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2013,12,1280,70,275,84,44,0,361,16,64,26,29,17,23,57,14
"Sacramento",2013,12,967,38,211,55,41,0,200,15,38,16,0,13,22,52,19
"San Benito",2013,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2013,12,1152,52,237,91,41,16,262,26,55,29,12,0,19,54,15
"San Diego",2013,12,1849,117,416,94,65,0,408,33,89,33,14,24,33,132,41
"San Francisco",2013,12,540,30,115,14,0,0,96,0,22,0,0,0,19,40,0
"San Joaquin",2013,12,395,28,86,19,16,0,98,0,24,11,0,0,12,15,11
"San Luis Obispo",2013,12,177,0,48,0,0,0,53,0,0,0,0,0,0,14,0
